3000
#Neutron PDFs for Ar 1 
#dr G_K(r) R(r) rho(r) G(r) g(r) D(r) T(r)
0.010000 -3.644281 0.000000 0.000000 -0.002687 0.000000 -0.009791 0.000000
0.030000 -3.644281 0.000000 0.000000 -0.008060 0.000000 -0.029373 0.000000
0.050000 -3.644281 0.000000 0.000000 -0.013433 0.000000 -0.048955 0.000000
0.070000 -3.644281 0.000000 0.000000 -0.018807 0.000000 -0.068537 0.000000
0.090000 -3.644281 0.000000 0.000000 -0.024180 0.000000 -0.088119 0.000000
0.110000 -3.644281 0.000000 0.000000 -0.029554 0.000000 -0.107702 0.000000
0.130000 -3.644281 0.000000 0.000000 -0.034927 0.000000 -0.127284 0.000000
0.150000 -3.644281 0.000000 0.000000 -0.040300 0.000000 -0.146866 0.000000
0.170000 -3.644281 0.000000 0.000000 -0.045674 0.000000 -0.166448 0.000000
0.190000 -3.644281 0.000000 0.000000 -0.051047 0.000000 -0.186030 0.000000
0.210000 -3.644281 0.000000 0.000000 -0.056420 0.000000 -0.205612 0.000000
0.230000 -3.644281 0.000000 0.000000 -0.061794 0.000000 -0.225194 0.000000
0.250000 -3.644281 0.000000 0.000000 -0.067167 0.000000 -0.244776 0.000000
0.270000 -3.644281 0.000000 0.000000 -0.072541 0.000000 -0.264358 0.000000
0.290000 -3.644281 0.000000 0.000000 -0.077914 0.000000 -0.283941 0.000000
0.310000 -3.644281 0.000000 0.000000 -0.083287 0.000000 -0.303523 0.000000
0.330000 -3.644281 0.000000 0.000000 -0.088661 0.000000 -0.323105 0.000000
0.350000 -3.644281 0.000000 0.000000 -0.094034 0.000000 -0.342687 0.000000
0.370000 -3.644281 0.000000 0.000000 -0.099408 0.000000 -0.362269 0.000000
0.390000 -3.644281 0.000000 0.000000 -0.104781 0.000000 -0.381851 0.000000
0.410000 -3.644281 0.000000 0.000000 -0.110154 0.000000 -0.401433 0.000000
0.430000 -3.644281 0.000000 0.000000 -0.115528 0.000000 -0.421015 0.000000
0.450000 -3.644281 0.000000 0.000000 -0.120901 0.000000 -0.440597 0.000000
0.470000 -3.644281 0.000000 0.000000 -0.126274 0.000000 -0.460180 0.000000
0.490000 -3.644281 0.000000 0.000000 -0.131648 0.000000 -0.479762 0.000000
0.510000 -3.644281 0.000000 0.000000 -0.137021 0.000000 -0.499344 0.000000
0.530000 -3.644281 0.000000 0.000000 -0.142395 0.000000 -0.518926 0.000000
0.550000 -3.644281 0.000000 0.000000 -0.147768 0.000000 -0.538508 0.000000
0.570000 -3.644281 0.000000 0.000000 -0.153141 0.000000 -0.558090 0.000000
0.590000 -3.644281 0.000000 0.000000 -0.158515 0.000000 -0.577672 0.000000
0.610000 -3.644281 0.000000 0.000000 -0.163888 0.000000 -0.597254 0.000000
0.630000 -3.644281 0.000000 0.000000 -0.169261 0.000000 -0.616836 0.000000
0.650000 -3.644281 0.000000 0.000000 -0.174635 0.000000 -0.636418 0.000000
0.670000 -3.644281 0.000000 0.000000 -0.180008 0.000000 -0.656001 0.000000
0.690000 -3.644281 0.000000 0.000000 -0.185382 0.000000 -0.675583 0.000000
0.710000 -3.644281 0.000000 0.000000 -0.190755 0.000000 -0.695165 0.000000
0.730000 -3.644281 0.000000 0.000000 -0.196128 0.000000 -0.714747 0.000000
0.750000 -3.644281 0.000000 0.000000 -0.201502 0.000000 -0.734329 0.000000
0.770000 -3.644281 0.000000 0.000000 -0.206875 0.000000 -0.753911 0.000000
0.790000 -3.644281 0.000000 0.000000 -0.212249 0.000000 -0.773493 0.000000
0.810000 -3.644281 0.000000 0.000000 -0.217622 0.000000 -0.793075 0.000000
0.830000 -3.644281 0.000000 0.000000 -0.222995 0.000000 -0.812657 0.000000
0.850000 -3.644281 0.000000 0.000000 -0.228369 0.000000 -0.832240 0.000000
0.870000 -3.644281 0.000000 0.000000 -0.233742 0.000000 -0.851822 0.000000
0.890000 -3.644281 0.000000 0.000000 -0.239115 0.000000 -0.871404 0.000000
0.910000 -3.644281 0.000000 0.000000 -0.244489 0.000000 -0.890986 0.000000
0.930000 -3.644281 0.000000 0.000000 -0.249862 0.000000 -0.910568 0.000000
0.950000 -3.644281 0.000000 0.000000 -0.255236 0.000000 -0.930150 0.000000
0.970000 -3.644281 0.000000 0.000000 -0.260609 0.000000 -0.949732 0.000000
0.990000 -3.644281 0.000000 0.000000 -0.265982 0.000000 -0.969314 0.000000
1.010000 -3.644281 0.000000 0.000000 -0.271356 0.000000 -0.988896 0.000000
1.030000 -3.644281 0.000000 0.000000 -0.276729 0.000000 -1.008479 0.000000
1.050000 -3.644281 0.000000 0.000000 -0.282102 0.000000 -1.028061 0.000000
1.070000 -3.644281 0.000000 0.000000 -0.287476 0.000000 -1.047643 0.000000
1.090000 -3.644281 0.000000 0.000000 -0.292849 0.000000 -1.067225 0.000000
1.110000 -3.644281 0.000000 0.000000 -0.298223 0.000000 -1.086807 0.000000
1.130000 -3.644281 0.000000 0.000000 -0.303596 0.000000 -1.106389 0.000000
1.150000 -3.644281 0.000000 0.000000 -0.308969 0.000000 -1.125971 0.000000
1.170000 -3.644281 0.000000 0.000000 -0.314343 0.000000 -1.145553 0.000000
1.190000 -3.644281 0.000000 0.000000 -0.319716 0.000000 -1.165135 0.000000
1.210000 -3.644281 0.000000 0.000000 -0.325089 0.000000 -1.184717 0.000000
1.230000 -3.644281 0.000000 0.000000 -0.330463 0.000000 -1.204300 0.000000
1.250000 -3.644281 0.000000 0.000000 -0.335836 0.000000 -1.223882 0.000000
1.270000 -3.644281 0.000000 0.000000 -0.341210 0.000000 -1.243464 0.000000
1.290000 -3.644281 0.000000 0.000000 -0.346583 0.000000 -1.263046 0.000000
1.310000 -3.644281 0.000000 0.000000 -0.351956 0.000000 -1.282628 0.000000
1.330000 -3.644281 0.000000 0.000000 -0.357330 0.000000 -1.302210 0.000000
1.350000 -3.644281 0.000000 0.000000 -0.362703 0.000000 -1.321792 0.000000
1.370000 -3.644281 0.000000 0.000000 -0.368077 0.000000 -1.341374 0.000000
1.390000 -3.644281 0.000000 0.000000 -0.373450 0.000000 -1.360956 0.000000
